entity_name,purchase_count_12mo,example_property,example_price,example_sale_date,mailing_address,mailing_city_state_zip,sunbiz_search_url
BROOKSVILLE RENOVATIONS INC,13,"19360 NW 1 CT, 33169",235000,2026-05-04,11455 SW 40 ST 255,"MIAMI, FL 33165",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=BROOKSVILLE%20RENOVATIONS%20INC
BARR HOLDINGS LLC,6,"2845 SW 21 TER, 33145",520000,2026-04-16,5727 NW 7 ST 303,"MIAMI, FL 33126",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=BARR%20HOLDINGS%20LLC
MVP DEVELOPERS GROUP LLC,6,"1000 SW 62 AVE, 33144",570000,2026-04-28,7980 NW 71 ST,"MIAMI, FL 33166",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=MVP%20DEVELOPERS%20GROUP%20LLC
NABA PROPERTIES CORP,6,"15900 NW 27 CT, 33054",335000,2026-03-25,15476 NW 77 CT,"MIAMI LAKES, FL 33016",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=NABA%20PROPERTIES%20CORP
KMA HOLDINGS 1 LLC,5,"3820 NW 210 TER, 33055",330000,2025-08-07,1860 N HIBISCUS DR,"NORTH MIAMI, FL 33181",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=KMA%20HOLDINGS%201%20LLC
TITANIC PROPERTY GROUP LLC,5,"19531 NW 1 PL, 33169",403500,2026-05-05,9012 NW 117 TER,"MIAMI GARDENS, FL 33018",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=TITANIC%20PROPERTY%20GROUP%20LLC
TPG AG EHC III MULTI STATE 1 LLC,5,"27800 SW 157 AVE, 33031",7500000,2025-12-19,8585 E HARTFPRD DR STE 118,"SCOTTSDALE, AZ 85255",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=TPG%20AG%20EHC%20III%20MULTI%20STATE%201%20LLC
ADMER DEVELOPMENT LLC,4,"1411 SW 23 TER, 33145",850000,2026-03-27,5775 WATERFORD DISTRICT DR 100,"MIAMI, FL 33126",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=ADMER%20DEVELOPMENT%20LLC
ALL MEMBERS LLC,4,"2045 NW 115 ST, 33167",401100,2026-04-16,371 E SHORE RD,"GREAT NECK, NY 11023",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=ALL%20MEMBERS%20LLC
MNS ALPHA 4 LLC,4,"20100 NW 14 CT, 33169",363000,2026-04-28,1680 MICHIGAN AVE 700,"MIAMI BEACH, FL 33139",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=MNS%20ALPHA%204%20LLC
PRIORITY HOLDINGS LLC,4,"4334 NW 3 AVE, 33127",530000,2026-01-29,5794 BIRD RD 210,"MIAMI, FL 33155",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=PRIORITY%20HOLDINGS%20LLC
ALEXANDRIA INVESTMENT LLC,3,"3181 NW 133 ST, 33054",325200,2026-04-30,1701 W 37 ST 9,"HIALEAH, FL 33012",https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=ALEXANDRIA%20INVESTMENT%20LLC
